,gen,effmax_R,effmin_R,effstd_R,effavg_R
0,0,0.3930489562632362,0.3930489562632362,0.0,0.3930489562632362
1,1,0.39329366560407186,0.39329366560407186,0.0,0.39329366560407186
2,2,0.39329366560407186,0.39329366560407186,0.0,0.39329366560407186
3,3,0.4184565867282527,0.4184565867282527,0.0,0.4184565867282527
4,4,0.48122651770192937,0.48122651770192937,0.0,0.48122651770192937
5,5,0.48122651770192937,0.48122651770192937,0.0,0.48122651770192937
6,6,0.48122651770192937,0.48122651770192937,0.0,0.48122651770192937
